U,I
0,-0.00999999977648258
-4375,-50.6800003051758
-19,-0.00999999977648258
-25,-0.00999999977648258
-34,-0.00999999977648258
-45,-0.00999999977648258
-53,-0.00999999977648258
-57,-0.00999999977648258
-64,-0.00999999977648258
-72,-0.00999999977648258
-79,-0.00999999977648258
-91,-0.00999999977648258
-98,-0.00999999977648258
-105,-0.00999999977648258
-115,-0.00999999977648258
-126,-0.00999999977648258
-125,-0.00999999977648258
-158,-0.00999999977648258
-179,-0.00999999977648258
-187,-0.00999999977648258
-198,-0.00999999977648258
-209,-0.00999999977648258
-219,-0.00999999977648258
-230,-0.00999999977648258
-250,-0.00999999977648258
-277,-0.00999999977648258
-307,-0.00999999977648258
-321,-0.00999999977648258
-338,-0.00999999977648258
-355,-0.00999999977648258
-375,-0.00999999977648258
-393,-0.00999999977648258
-420,-0.00999999977648258
-456,-0.00999999977648258
-480,-0.00999999977648258
-501,-0.00999999977648258
-535,-0.00999999977648258
-550,-0.00999999977648258
-560,-0.00999999977648258
-588,-0.00999999977648258
-613,-0.00999999977648258
-627,-0.00999999977648258
-654,-0.00999999977648258
-674,-0.00999999977648258
-693,-0.00999999977648258
-706,-0.00999999977648258
-720,-0.00999999977648258
-736,-0.00999999977648258
-755,-0.00999999977648258
-773,-0.00999999977648258
-794,-0.00999999977648258
-808,-0.00999999977648258
-821,-0.00999999977648258
-836,-0.00999999977648258
-845,-0.00999999977648258
-875,-0.00999999977648258
-901,-0.00999999977648258
-920,-0.00999999977648258
-933,-0.00999999977648258
-952,-0.00999999977648258
-972,-0.00999999977648258
-976,-0.00999999977648258
-992,-0.00999999977648258
-1009,-0.00999999977648258
-1023,-0.00999999977648258
-1038,-0.00999999977648258
-1063,-0.00999999977648258
-1088,-0.00999999977648258
-1110,-0.00999999977648258
-1134,-0.00999999977648258
-1148,-0.00999999977648258
-1166,-0.00999999977648258
-1179,-0.00999999977648258
-1193,-0.00999999977648258
-1211,-0.00999999977648258
-1222,-0.00999999977648258
-1241,-0.00999999977648258
-1261,-0.00999999977648258
-1279,-0.00999999977648258
-1303,-0.00999999977648258
-1335,-0.00999999977648258
-1356,-0.0199999995529652
-1375,-0.0199999995529652
-1397,-0.00999999977648258
-1417,-0.0199999995529652
-1430,-0.0199999995529652
-1451,-0.0199999995529652
-1484,-0.0199999995529652
-1508,-0.0199999995529652
-1530,-0.0199999995529652
-1549,-0.0199999995529652
-1568,-0.0199999995529652
-1586,-0.0199999995529652
-1622,-0.0299999993294477
-1659,-0.0299999993294477
-1708,-0.0299999993294477
-1746,-0.0399999991059303
-1768,-0.0399999991059303
-1794,-0.0500000007450581
-1817,-0.0500000007450581
-1826,-0.0500000007450581
-1845,-0.0599999986588955
-1870,-0.0599999986588955
-1889,-0.0599999986588955
-1910,-0.0700000002980232
-1943,-0.0799999982118607
-1979,-0.0799999982118607
-2005,-0.0900000035762787
-2019,-0.100000001490116
-2057,-0.109999999403954
-2077,-0.119999997317791
-2107,-0.129999995231628
-2127,-0.129999995231628
-2141,-0.140000000596046
-2150,-0.150000005960464
-2150,-0.150000005960464
-2165,-0.150000005960464
-2175,-0.159999996423721
-2193,-0.170000001788139
-2211,-0.180000007152557
-2224,-0.189999997615814
-2237,-0.189999997615814
-2250,-0.200000002980232
-2255,-0.209999993443489
-2268,-0.219999998807907
-2275,-0.219999998807907
-2281,-0.219999998807907
-2289,-0.230000004172325
-2298,-0.239999994635582
-2303,-0.239999994635582
-2312,-0.25
-2319,-0.25
-2329,-0.259999990463257
-2337,-0.270000010728836
-2341,-0.270000010728836
-2345,-0.280000001192093
-2346,-0.270000010728836
-2351,-0.280000001192093
-2357,-0.280000001192093
-2368,-0.28999999165535
-2373,-0.300000011920929
-2384,-0.310000002384186
-2386,-0.310000002384186
-2386,-0.310000002384186
-2390,-0.319999992847443
-2395,-0.319999992847443
-2400,-0.319999992847443
-2405,-0.330000013113022
-2411,-0.340000003576279
-2420,-0.349999994039536
-2423,-0.349999994039536
-2426,-0.349999994039536
-2430,-0.349999994039536
-2434,-0.360000014305115
-2443,-0.370000004768372
-2451,-0.379999995231628
-2480,-0.409999996423721
-2494,-0.430000007152557
-2504,-0.439999997615814
-2520,-0.46000000834465
-2537,-0.490000009536743
-2555,-0.519999980926514
-2582,-0.550000011920929
-2590,-0.569999992847443
-2601,-0.589999973773956
-2623,-0.620000004768372
-2643,-0.660000026226044
-2655,-0.680000007152557
-2674,-0.720000028610229
-2692,-0.759999990463257
-2711,-0.790000021457672
-2733,-0.850000023841858
-2749,-0.889999985694885
-2774,-0.959999978542328
-2805,-1.04999995231628
-2837,-1.12000000476837
-2855,-1.16999995708466
-2867,-1.21000003814697
-2877,-1.25
-2887,-1.28999996185303
-2901,-1.3400000333786
-2916,-1.37999999523163
-2932,-1.44000005722046
-2944,-1.48000001907349
-2961,-1.53999996185303
-2978,-1.62999999523163
-2995,-1.71000003814697
-3018,-1.79999995231628
-3035,-1.87000000476837
-3051,-1.94000005722046
-3063,-2.00999999046326
-3084,-2.13000011444092
-3097,-2.20000004768372
-3131,-2.36999988555908
-3154,-2.5
-3174,-2.63000011444092
-3189,-2.73000001907349
-3203,-2.8199999332428
-3214,-2.91000008583069
-3233,-3.05999994277954
-3257,-3.21000003814697
-3283,-3.4300000667572
-3302,-3.57999992370605
-3318,-3.72000002861023
-3333,-3.89000010490417
-3352,-4.05000019073486
-3360,-4.09000015258789
-3372,-4.23000001907349
-3390,-4.40000009536743
-3403,-4.53999996185303
-3419,-4.73000001907349
-3429,-4.84999990463257
-3447,-5.03000020980835
-3457,-5.1399998664856
-3472,-5.32999992370605
-3485,-5.48000001907349
-3501,-5.69000005722046
-3507,-5.80000019073486
-3518,-5.96999979019165
-3541,-6.23999977111816
-3559,-6.51000022888184
-3570,-6.69000005722046
-3585,-6.92000007629395
-3599,-7.17000007629395
-3609,-7.32000017166138
-3619,-7.48000001907349
-3631,-7.67000007629395
-3640,-7.84999990463257
-3652,-8.06999969482422
-3662,-8.28999996185303
-3669,-8.40999984741211
-3682,-8.64000034332275
-3686,-8.72999954223633
-3699,-8.97999954223633
-3705,-9.13000011444092
-3719,-9.47000026702881
-3729,-9.71000003814697
-3750,-10.1000003814697
-3761,-10.3699998855591
-3767,-10.5200004577637
-3775,-10.7299995422363
-3789,-11.0799999237061
-3803,-11.5100002288818
-3813,-11.789999961853
-3825,-12.0699996948242
-3839,-12.4300003051758
-3853,-12.8800001144409
-3861,-13.1099996566772
-3872,-13.5299997329712
-3878,-13.710000038147
-3889,-14.0100002288818
-3901,-14.4300003051758
-3909,-14.6999998092651
-3914,-14.8999996185303
-3927,-15.4399995803833
-3937,-15.8100004196167
-3946,-16.1200008392334
-3953,-16.3500003814697
-3961,-16.7099990844727
-3971,-17.1200008392334
-3981,-17.5300006866455
-3986,-17.7700004577637
-3996,-18.2700004577637
-4007,-18.6599998474121
-4013,-18.9699993133545
-4022,-19.4200000762939
-4029,-19.7800006866455
-4036,-20.1700000762939
-4042,-20.5
-4049,-20.7900009155273
-4052,-20.9400005340576
-4060,-21.3799991607666
-4067,-21.7700004577637
-4073,-22.1499996185303
-4077,-22.3400001525879
-4082,-22.7199993133545
-4092,-23.2299995422363
-4099,-23.6499996185303
-4111,-24.3600006103516
-4115,-24.6800003051758
-4122,-25.2099990844727
-4129,-25.6800003051758
-4133,-25.8999996185303
-4137,-26.1700000762939
-4140,-26.3999996185303
-4144,-26.6800003051758
-4144,-26.7299995422363
-4146,-26.8899993896484
-4148,-27.0499992370605
-4149,-27.1299991607666
-4152,-27.3199996948242
-4155,-27.5499992370605
-4156,-27.7099990844727
-4157,-27.7800006866455
-4158,-27.8799991607666
-4162,-28.1200008392334
-4163,-28.2399997711182
-4165,-28.3700008392334
-4167,-28.5499992370605
-4168,-28.6599998474121
-4170,-28.7700004577637
-4172,-28.9200000762939
-4172,-28.9699993133545
-4175,-29.2099990844727
-4177,-29.3500003814697
-4185,-30.1000003814697
-4190,-30.4799995422363
-4194,-30.7399997711182
-4197,-31.0100002288818
-4200,-31.2900009155273
-4205,-31.6800003051758
-4209,-32.1699981689453
-4214,-32.4900016784668
-4216,-32.75
-4219,-32.9900016784668
-4222,-33.2900009155273
-4227,-33.7799987792969
-4231,-34.1199989318848
-4235,-34.6399993896484
-4240,-34.9700012207031
-4245,-35.5299987792969
-4251,-36.1300010681152
-4254,-36.3899993896484
-4260,-37.1399993896484
-4265,-37.7799987792969
-4273,-38.5099983215332
-4277,-39
-4280,-39.3300018310547
-4282,-39.6199989318848
-4286,-40.0800018310547
-4288,-40.4000015258789
-4290,-40.7299995422363
-4293,-40.9700012207031
-4295,-41.2900009155273
-4298,-41.6300010681152
-4302,-42.189998626709
-4305,-42.560001373291
-4306,-42.8600006103516
-4309,-43.1599998474121
-4312,-43.5499992370605
-4312,-43.4599990844727
-4316,-44.1199989318848
-4319,-44.5400009155273
-4322,-45.0299987792969
-4324,-45.3199996948242
-4327,-45.5900001525879
-4329,-46
-4331,-46.2299995422363
-4332,-46.439998626709
-4334,-46.7799987792969
-4336,-47.1800003051758
-4338,-47.3300018310547
-4341,-47.75
-4342,-48.0299987792969
-4344,-48.2900009155273
-4345,-48.560001373291
-4348,-49.0400009155273
-4351,-49.4099998474121
-4353,-49.7400016784668
-4357,-50.25
-4359,-50.689998626709
-4362,-51.0999984741211
-4350,-49.2099990844727
-4335,-47.1599998474121
-4326,-46.1800003051758
-4321,-45.4799995422363
-4314,-44.5900001525879
-4307,-43.6599998474121
-4304,-43.1800003051758
-4294,-41.7599983215332
-4279,-40.2700004577637
-4269,-39.1800003051758
-4261,-38.2200012207031
-4254,-37.5099983215332
-4249,-36.7400016784668
-4241,-35.8699989318848
-4227,-34.7099990844727
-4213,-33.4199981689453
-4199,-32.1300010681152
-4184,-30.8500003814697
-4170,-29.4599990844727
-4162,-29.0599994659424
-4170,-29.4599990844727
-4155,-28.4400005340576
-4141,-27.3899993896484
-4123,-26.1399993896484
-4105,-24.8700008392334
-4096,-24.2299995422363
-4094,-24.0699996948242
-4103,-24.4400005340576
-4145,-27.3099994659424
-4145,-27.2999992370605
-4145,-27.2999992370605
-4145,-27.2999992370605
