U               I
-3.29300E+0003  1.00000E-0002
-3.23300E+0003  1.00000E-0002
-3.22300E+0003  1.00000E-0002
-3.13000E+0003  1.00000E-0002
-3.12400E+0003  1.00000E-0002
-3.09300E+0003  1.00000E-0002
-3.07700E+0003  1.00000E-0002
-3.05500E+0003  1.00000E-0002
-3.05100E+0003  1.00000E-0002
-3.00800E+0003  1.00000E-0002
-2.97600E+0003  1.00000E-0002
-2.97300E+0003  1.00000E-0002
-2.96500E+0003  1.00000E-0002
-2.94600E+0003  1.00000E-0002
-2.94200E+0003  1.00000E-0002
-2.91300E+0003  1.00000E-0002
-2.87500E+0003  1.00000E-0002
-2.82200E+0003  3.00000E-0002
-2.84400E+0003  3.00000E-0002
-2.83500E+0003  3.00000E-0002
-2.82800E+0003  3.00000E-0002
-2.77400E+0003  5.00000E-0002
-2.78500E+0003  4.00000E-0002
-2.82800E+0003  3.00000E-0002
-2.84800E+0003  2.00000E-0002
-2.85400E+0003  2.00000E-0002
-2.86500E+0003  2.00000E-0002
-2.89000E+0003  2.00000E-0002
-2.91000E+0003  1.00000E-0002
-2.94400E+0003  1.00000E-0002
-2.95400E+0003  1.00000E-0002
-2.94900E+0003  1.00000E-0002
-2.92600E+0003  1.00000E-0002
-2.91800E+0003  1.00000E-0002
-2.90800E+0003  1.00000E-0002
-2.87500E+0003  2.00000E-0002
-2.85600E+0003  3.00000E-0002
-2.81400E+0003  3.00000E-0002
-2.77700E+0003  5.00000E-0002
-2.75600E+0003  6.00000E-0002
-2.75500E+0003  6.00000E-0002
-2.74600E+0003  6.00000E-0002
-2.76700E+0003  5.00000E-0002
-2.76900E+0003  5.00000E-0002
-2.77600E+0003  5.00000E-0002
-2.79000E+0003  4.00000E-0002
-2.79800E+0003  3.00000E-0002
-2.81100E+0003  3.00000E-0002
-2.77900E+0003  5.00000E-0002
-2.74100E+0003  6.00000E-0002
-2.73400E+0003  7.00000E-0002
-2.71800E+0003  7.00000E-0002
-2.71200E+0003  8.00000E-0002
-2.70700E+0003  8.00000E-0002
-2.70000E+0003  9.00000E-0002
-2.69200E+0003  9.00000E-0002
-2.68500E+0003  1.00000E-0001
-2.68100E+0003  1.00000E-0001
-2.67400E+0003  1.00000E-0001
-2.66300E+0003  1.10000E-0001
-2.66000E+0003  1.20000E-0001
-2.65100E+0003  1.20000E-0001
-2.63900E+0003  1.30000E-0001
-2.63100E+0003  1.30000E-0001
-2.62000E+0003  1.50000E-0001
-2.61300E+0003  1.50000E-0001
-2.60900E+0003  1.60000E-0001
-2.60100E+0003  1.70000E-0001
-2.59700E+0003  1.70000E-0001
-2.59200E+0003  1.80000E-0001
-2.58800E+0003  1.80000E-0001
-2.56900E+0003  2.00000E-0001
-2.54000E+0003  2.20000E-0001
-2.53200E+0003  2.40000E-0001
-2.54900E+0003  2.20000E-0001
-2.55800E+0003  2.20000E-0001
-2.55000E+0003  2.30000E-0001
-2.52500E+0003  2.50000E-0001
-2.50100E+0003  2.80000E-0001
-2.49400E+0003  2.80000E-0001
-2.48800E+0003  2.90000E-0001
-2.48100E+0003  3.00000E-0001
-2.47300E+0003  3.10000E-0001
-2.47200E+0003  3.10000E-0001
-2.46700E+0003  3.20000E-0001
-2.46300E+0003  3.20000E-0001
-2.46000E+0003  3.30000E-0001
-2.45600E+0003  3.30000E-0001
-2.44600E+0003  3.50000E-0001
-2.44100E+0003  3.60000E-0001
-2.43400E+0003  3.70000E-0001
-2.42500E+0003  3.80000E-0001
-2.41900E+0003  3.90000E-0001
-2.40600E+0003  4.10000E-0001
-2.39600E+0003  4.20000E-0001
-2.39200E+0003  4.30000E-0001
-2.38200E+0003  4.40000E-0001
-2.37700E+0003  4.50000E-0001
-2.37100E+0003  4.50000E-0001
-2.37000E+0003  4.60000E-0001
