U              I
8.00000E+0000  4.00000E-0002
8.00000E+0000  4.00000E-0002
1.70000E+0001  8.00000E-0002
1.80000E+0001  1.00000E-0001
2.50000E+0001  1.20000E-0001
3.90000E+0001  2.00000E-0001
5.90000E+0001  2.80000E-0001
7.20000E+0001  3.40000E-0001
8.40000E+0001  4.10000E-0001
1.01000E+0002  4.80000E-0001
1.16000E+0002  5.50000E-0001
1.13000E+0002  5.40000E-0001
1.42000E+0002  6.70000E-0001
1.63000E+0002  7.70000E-0001
1.63000E+0002  7.70000E-0001
1.92000E+0002  9.00000E-0001
2.02000E+0002  9.50000E-0001
2.12000E+0002  9.80000E-0001
2.17000E+0002  1.01000E+0000
2.22000E+0002  1.03000E+0000
2.28000E+0002  1.06000E+0000
2.35000E+0002  1.09000E+0000
2.40000E+0002  1.10000E+0000
2.46000E+0002  1.13000E+0000
2.57000E+0002  1.18000E+0000
2.65000E+0002  1.22000E+0000
2.84000E+0002  1.29000E+0000
2.95000E+0002  1.35000E+0000
3.09000E+0002  1.40000E+0000
3.21000E+0002  1.45000E+0000
3.32000E+0002  1.48000E+0000
3.46000E+0002  1.56000E+0000
3.61000E+0002  1.62000E+0000
3.69000E+0002  1.62000E+0000
3.75000E+0002  1.67000E+0000
3.95000E+0002  1.75000E+0000
4.07000E+0002  1.80000E+0000
4.18000E+0002  1.84000E+0000
4.32000E+0002  1.90000E+0000
4.41000E+0002  1.93000E+0000
4.55000E+0002  2.00000E+0000
4.78000E+0002  2.08000E+0000
4.87000E+0002  2.11000E+0000
4.99000E+0002  2.14000E+0000
5.01000E+0002  2.17000E+0000
5.14000E+0002  2.21000E+0000
5.26000E+0002  2.23000E+0000
5.30000E+0002  2.28000E+0000
5.51000E+0002  2.35000E+0000
5.58000E+0002  2.37000E+0000
5.69000E+0002  2.37000E+0000
5.87000E+0002  2.48000E+0000
5.95000E+0002  2.51000E+0000
6.07000E+0002  2.54000E+0000
6.16000E+0002  2.59000E+0000
6.25000E+0002  2.61000E+0000
6.31000E+0002  2.64000E+0000
6.41000E+0002  2.67000E+0000
6.61000E+0002  2.74000E+0000
6.74000E+0002  2.78000E+0000
6.77000E+0002  2.80000E+0000
6.87000E+0002  2.82000E+0000
6.98000E+0002  2.86000E+0000
6.98000E+0002  2.87000E+0000
7.15000E+0002  2.92000E+0000
7.26000E+0002  2.95000E+0000
7.37000E+0002  2.96000E+0000
7.38000E+0002  2.99000E+0000
7.53000E+0002  3.04000E+0000
7.54000E+0002  3.04000E+0000
7.55000E+0002  3.04000E+0000
7.66000E+0002  3.08000E+0000
7.66000E+0002  3.07000E+0000
7.71000E+0002  3.09000E+0000
7.83000E+0002  3.13000E+0000
7.91000E+0002  3.15000E+0000
8.00000E+0002  3.18000E+0000
8.11000E+0002  3.22000E+0000
8.26000E+0002  3.26000E+0000
8.35000E+0002  3.30000E+0000
8.58000E+0002  3.36000E+0000
8.69000E+0002  3.39000E+0000
8.70000E+0002  3.48000E+0000
8.78000E+0002  3.42000E+0000
8.97000E+0002  3.47000E+0000
9.17000E+0002  3.52000E+0000
9.18000E+0002  3.52000E+0000
9.31000E+0002  3.56000E+0000
9.40000E+0002  3.59000E+0000
9.42000E+0002  3.60000E+0000
9.63000E+0002  3.65000E+0000
9.73000E+0002  3.68000E+0000
9.87000E+0002  3.71000E+0000
9.96000E+0002  3.74000E+0000
1.00600E+0003  3.76000E+0000
1.00500E+0003  3.76000E+0000
1.01400E+0003  3.80000E+0000
1.03000E+0003  3.83000E+0000
1.05000E+0003  3.87000E+0000
1.05100E+0003  3.88000E+0000
1.06900E+0003  3.93000E+0000
1.09300E+0003  3.98000E+0000
1.10100E+0003  4.00000E+0000
1.11600E+0003  4.03000E+0000
1.13000E+0003  4.07000E+0000
1.14500E+0003  4.10000E+0000
1.15200E+0003  4.11000E+0000
1.17200E+0003  4.16000E+0000
1.19100E+0003  4.20000E+0000
1.21000E+0003  4.24000E+0000
1.22300E+0003  4.28000E+0000
1.26600E+0003  4.36000E+0000
1.26300E+0003  4.36000E+0000
1.27500E+0003  4.38000E+0000
1.28800E+0003  4.41000E+0000
1.29700E+0003  4.43000E+0000
1.31000E+0003  4.45000E+0000
1.32300E+0003  4.47000E+0000
1.33600E+0003  4.49000E+0000
1.34700E+0003  4.52000E+0000
1.36400E+0003  4.55000E+0000
1.38100E+0003  4.58000E+0000
1.39100E+0003  4.60000E+0000
1.40800E+0003  4.63000E+0000
1.42100E+0003  4.65000E+0000
1.42200E+0003  4.66000E+0000
1.43800E+0003  4.68000E+0000
1.44500E+0003  4.70000E+0000
1.46600E+0003  4.70000E+0000
1.47400E+0003  4.75000E+0000
1.48800E+0003  4.76000E+0000
1.50300E+0003  4.79000E+0000
1.50700E+0003  4.80000E+0000
1.52700E+0003  4.82000E+0000
1.54100E+0003  4.85000E+0000
1.54400E+0003  4.85000E+0000
1.57500E+0003  4.90000E+0000
1.58400E+0003  4.91000E+0000
1.59600E+0003  4.92000E+0000
1.61200E+0003  4.95000E+0000
1.62900E+0003  4.97000E+0000
1.64600E+0003  4.99000E+0000
1.66000E+0003  5.02000E+0000
1.67400E+0003  5.03000E+0000
1.69100E+0003  5.06000E+0000
1.71600E+0003  5.08000E+0000
1.73300E+0003  5.10000E+0000
1.75400E+0003  5.13000E+0000
1.77700E+0003  5.15000E+0000
1.79700E+0003  5.18000E+0000
1.81100E+0003  5.19000E+0000
1.81400E+0003  5.20000E+0000
1.82300E+0003  5.21000E+0000
1.84600E+0003  5.23000E+0000
1.85700E+0003  5.25000E+0000
1.88700E+0003  5.28000E+0000
1.91600E+0003  5.30000E+0000
1.93900E+0003  5.32000E+0000
1.96000E+0003  5.34000E+0000
1.98300E+0003  5.36000E+0000
2.01900E+0003  5.39000E+0000
2.03400E+0003  5.40000E+0000
2.05700E+0003  5.42000E+0000
2.08400E+0003  5.44000E+0000
2.11000E+0003  5.46000E+0000
2.13600E+0003  5.48000E+0000
2.16400E+0003  5.50000E+0000
2.18300E+0003  5.51000E+0000
2.19400E+0003  5.53000E+0000
2.23000E+0003  5.54000E+0000
2.25800E+0003  5.56000E+0000
2.26000E+0003  5.56000E+0000
2.28400E+0003  5.58000E+0000
2.32000E+0003  5.60000E+0000
2.32400E+0003  5.60000E+0000
2.34600E+0003  5.61000E+0000
2.37100E+0003  5.62000E+0000
2.39500E+0003  5.63000E+0000
2.40000E+0003  5.63000E+0000
2.43700E+0003  5.66000E+0000
2.47300E+0003  5.68000E+0000
2.47800E+0003  5.68000E+0000
2.50400E+0003  5.69000E+0000
2.52200E+0003  5.69000E+0000
2.53600E+0003  5.70000E+0000
2.55700E+0003  5.71000E+0000
2.57500E+0003  5.72000E+0000
2.59200E+0003  5.73000E+0000
2.61100E+0003  5.74000E+0000
2.64500E+0003  5.75000E+0000
2.67700E+0003  5.76000E+0000
2.72000E+0003  5.78000E+0000
2.75300E+0003  5.79000E+0000
2.77100E+0003  5.80000E+0000
2.78800E+0003  5.81000E+0000
2.81000E+0003  5.81000E+0000
2.83800E+0003  5.81000E+0000
2.85900E+0003  5.82000E+0000
2.88100E+0003  5.83000E+0000
2.90900E+0003  5.83000E+0000
2.94400E+0003  5.83000E+0000
2.96400E+0003  5.85000E+0000
3.00100E+0003  5.86000E+0000
3.02900E+0003  5.86000E+0000
3.05500E+0003  5.87000E+0000
3.08600E+0003  5.88000E+0000
3.11300E+0003  5.88000E+0000
3.16700E+0003  5.89000E+0000
3.21800E+0003  5.91000E+0000
3.24700E+0003  5.91000E+0000
3.24800E+0003  5.91000E+0000
3.24800E+0003  5.91000E+0000
3.26700E+0003  5.92000E+0000
3.28400E+0003  5.91000E+0000
3.28700E+0003  5.92000E+0000
3.31000E+0003  5.92000E+0000
3.33200E+0003  5.92000E+0000
3.35100E+0003  5.92000E+0000
3.37400E+0003  5.93000E+0000
3.40000E+0003  5.94000E+0000
3.40800E+0003  5.94000E+0000
3.43900E+0003  5.94000E+0000
3.46600E+0003  5.94000E+0000
3.48900E+0003  5.95000E+0000
3.51500E+0003  5.95000E+0000
3.54600E+0003  5.96000E+0000
3.57900E+0003  5.96000E+0000
3.58000E+0003  5.97000E+0000
3.61400E+0003  5.97000E+0000
3.62000E+0003  5.97000E+0000
3.65300E+0003  5.98000E+0000
3.68800E+0003  5.98000E+0000
3.72100E+0003  5.98000E+0000
3.73600E+0003  5.99000E+0000
3.79000E+0003  5.99000E+0000
3.82800E+0003  6.00000E+0000
3.86900E+0003  6.00000E+0000
3.91700E+0003  6.01000E+0000
3.95400E+0003  6.01000E+0000
4.00000E+0003  6.01000E+0000
4.02500E+0003  6.02000E+0000
4.06100E+0003  6.02000E+0000
4.08800E+0003  6.02000E+0000
4.12300E+0003  6.03000E+0000
4.16300E+0003  6.03000E+0000
4.21400E+0003  6.04000E+0000
4.22500E+0003  6.04000E+0000
4.28100E+0003  6.04000E+0000
4.32100E+0003  6.05000E+0000
4.36300E+0003  6.05000E+0000
4.40100E+0003  6.05000E+0000
4.42100E+0003  6.05000E+0000
4.47300E+0003  6.06000E+0000
4.47600E+0003  6.05000E+0000
4.50000E+0003  6.06000E+0000
4.53900E+0003  6.06000E+0000
4.55500E+0003  6.07000E+0000
4.60800E+0003  6.07000E+0000
4.65000E+0003  6.07000E+0000
4.68600E+0003  6.07000E+0000
4.72100E+0003  6.08000E+0000
4.77400E+0003  6.08000E+0000
4.80700E+0003  6.08000E+0000
4.80400E+0003  6.08000E+0000
4.81800E+0003  6.08000E+0000
4.87100E+0003  6.08000E+0000
4.88300E+0003  6.08000E+0000
4.92200E+0003  6.09000E+0000
4.96100E+0003  6.09000E+0000
5.01000E+0003  6.09000E+0000
5.03200E+0003  6.09000E+0000
5.08000E+0003  6.09000E+0000
5.09000E+0003  6.09000E+0000
5.15400E+0003  6.10000E+0000
5.19100E+0003  6.10000E+0000
5.24700E+0003  6.10000E+0000
5.25600E+0003  6.10000E+0000
5.30500E+0003  6.10000E+0000
5.34600E+0003  6.11000E+0000
5.37800E+0003  6.11000E+0000
5.41200E+0003  6.11000E+0000
5.46600E+0003  6.11000E+0000
5.49100E+0003  6.11000E+0000
5.53000E+0003  6.11000E+0000
5.59200E+0003  6.12000E+0000
5.64700E+0003  6.12000E+0000
5.67500E+0003  6.12000E+0000
5.71300E+0003  6.12000E+0000
5.73900E+0003  6.12000E+0000
5.77800E+0003  6.12000E+0000
5.81100E+0003  6.12000E+0000
5.84000E+0003  6.13000E+0000
5.86800E+0003  6.13000E+0000
5.94800E+0003  6.13000E+0000
5.97300E+0003  6.13000E+0000
5.99300E+0003  6.13000E+0000
6.00900E+0003  6.13000E+0000
6.04900E+0003  6.13000E+0000
6.10400E+0003  6.13000E+0000
6.11000E+0003  6.14000E+0000
6.13000E+0003  6.13000E+0000
6.18000E+0003  6.14000E+0000
6.18000E+0003  6.13000E+0000
6.26700E+0003  6.14000E+0000
6.36700E+0003  6.14000E+0000
6.40600E+0003  6.14000E+0000
6.47500E+0003  6.14000E+0000
6.53700E+0003  6.15000E+0000
6.56700E+0003  6.15000E+0000
6.57900E+0003  6.14000E+0000
6.59900E+0003  6.15000E+0000
6.63700E+0003  6.14000E+0000
6.65900E+0003  6.15000E+0000
6.69100E+0003  6.15000E+0000
6.73200E+0003  6.15000E+0000
6.75800E+0003  6.15000E+0000
6.81600E+0003  6.15000E+0000
6.84800E+0003  6.15000E+0000
6.87900E+0003  6.15000E+0000
6.90400E+0003  6.15000E+0000
6.94100E+0003  6.15000E+0000
6.99000E+0003  6.15000E+0000
7.00500E+0003  6.15000E+0000
7.03700E+0003  6.15000E+0000
7.06700E+0003  6.15000E+0000
7.08600E+0003  6.15000E+0000
7.14300E+0003  6.15000E+0000
7.18000E+0003  6.16000E+0000
7.20000E+0003  6.16000E+0000
7.22500E+0003  6.15000E+0000
7.26800E+0003  6.15000E+0000
7.28000E+0003  6.15000E+0000
7.30900E+0003  6.16000E+0000
7.36800E+0003  6.16000E+0000
7.40500E+0003  6.16000E+0000
7.43400E+0003  6.15000E+0000
7.47100E+0003  6.16000E+0000
7.50100E+0003  6.16000E+0000
7.53000E+0003  6.16000E+0000
7.55400E+0003  6.16000E+0000
7.59400E+0003  6.16000E+0000
7.63000E+0003  6.16000E+0000
7.68700E+0003  6.16000E+0000
7.74000E+0003  6.16000E+0000
7.77400E+0003  6.16000E+0000
7.82900E+0003  6.17000E+0000
7.87900E+0003  6.16000E+0000
7.93400E+0003  6.16000E+0000
7.94500E+0003  6.16000E+0000
8.00200E+0003  6.16000E+0000
8.03600E+0003  6.16000E+0000
8.09100E+0003  6.17000E+0000
8.14100E+0003  6.16000E+0000
8.21700E+0003  6.17000E+0000
8.23100E+0003  6.16000E+0000
8.30100E+0003  6.17000E+0000
8.35600E+0003  6.17000E+0000
8.40000E+0003  6.16000E+0000
8.40700E+0003  6.17000E+0000
8.43800E+0003  6.17000E+0000
8.46000E+0003  6.17000E+0000
8.50100E+0003  6.17000E+0000
8.52800E+0003  6.17000E+0000
8.57600E+0003  6.17000E+0000
8.60200E+0003  6.17000E+0000
8.64100E+0003  6.17000E+0000
8.68700E+0003  6.17000E+0000
8.71100E+0003  6.16000E+0000
8.75900E+0003  6.17000E+0000
8.79800E+0003  6.17000E+0000
8.88600E+0003  6.17000E+0000
8.91500E+0003  6.18000E+0000
8.94900E+0003  6.17000E+0000
8.97500E+0003  6.17000E+0000
8.99400E+0003  6.17000E+0000
9.05900E+0003  6.17000E+0000
9.10200E+0003  6.17000E+0000
9.13000E+0003  6.17000E+0000
9.16000E+0003  6.17000E+0000
9.20300E+0003  6.17000E+0000
9.22100E+0003  6.17000E+0000
9.24800E+0003  6.17000E+0000
9.28900E+0003  6.17000E+0000
9.31400E+0003  6.17000E+0000
9.35700E+0003  6.17000E+0000
9.40900E+0003  6.17000E+0000
9.44100E+0003  6.17000E+0000
9.44400E+0003  6.17000E+0000
9.50200E+0003  6.17000E+0000
9.54300E+0003  6.17000E+0000
9.57000E+0003  6.17000E+0000
9.59900E+0003  6.17000E+0000
9.67500E+0003  6.17000E+0000
9.70700E+0003  6.17000E+0000
9.77000E+0003  6.17000E+0000
9.82400E+0003  6.17000E+0000
9.86400E+0003  6.17000E+0000
9.90200E+0003  6.17000E+0000
9.95800E+0003  6.17000E+0000
9.99600E+0003  6.17000E+0000
1.00170E+0004  6.17000E+0000
1.00520E+0004  6.17000E+0000
1.01110E+0004  6.17000E+0000
1.01250E+0004  6.17000E+0000
1.01800E+0004  6.17000E+0000
1.02210E+0004  6.17000E+0000
1.02520E+0004  6.17000E+0000
1.03080E+0004  6.18000E+0000
1.03720E+0004  6.17000E+0000
1.04150E+0004  6.17000E+0000
1.04460E+0004  6.17000E+0000
1.04740E+0004  6.17000E+0000
1.05210E+0004  6.17000E+0000
1.05260E+0004  6.17000E+0000
1.05630E+0004  6.17000E+0000
1.05950E+0004  6.17000E+0000
1.06370E+0004  6.18000E+0000
1.06910E+0004  6.17000E+0000
1.07440E+0004  6.17000E+0000
1.07930E+0004  6.17000E+0000
1.08320E+0004  6.17000E+0000
1.08750E+0004  6.17000E+0000
1.09450E+0004  6.17000E+0000
1.09480E+0004  6.17000E+0000
1.09990E+0004  6.17000E+0000
1.10320E+0004  6.17000E+0000
1.10770E+0004  6.17000E+0000
1.11050E+0004  6.17000E+0000
1.11580E+0004  6.17000E+0000
1.12080E+0004  6.17000E+0000
1.12950E+0004  6.17000E+0000
1.13480E+0004  6.17000E+0000
1.14170E+0004  6.17000E+0000
1.14310E+0004  6.17000E+0000
1.14730E+0004  6.17000E+0000
1.14850E+0004  6.17000E+0000
