U              I
1.14700E+0004  8.59000E+0000
3.00000E+0001  1.70000E-0001
4.10000E+0001  2.50000E-0001
6.90000E+0001  4.00000E-0001
0.00000E+0000  1.00000E-0002
2.00000E+0000  2.00000E-0002
1.70000E+0001  1.10000E-0001
3.40000E+0001  2.00000E-0001
3.80000E+0001  2.30000E-0001
5.10000E+0001  3.00000E-0001
7.80000E+0001  4.60000E-0001
9.40000E+0001  5.50000E-0001
1.07000E+0002  6.20000E-0001
1.31000E+0002  7.60000E-0001
1.40000E+0002  8.00000E-0001
1.48000E+0002  8.50000E-0001
1.24000E+0002  7.20000E-0001
9.70000E+0001  5.40000E-0001
9.20000E+0001  5.50000E-0001
1.33000E+0002  7.80000E-0001
1.48000E+0002  8.50000E-0001
1.60000E+0002  9.20000E-0001
1.71000E+0002  9.90000E-0001
1.82000E+0002  1.04000E+0000
1.89000E+0002  1.09000E+0000
1.99000E+0002  1.15000E+0000
2.13000E+0002  1.22000E+0000
2.23000E+0002  1.28000E+0000
2.29000E+0002  1.30000E+0000
2.38000E+0002  1.35000E+0000
2.44000E+0002  1.39000E+0000
2.63000E+0002  1.49000E+0000
2.79000E+0002  1.58000E+0000
2.82000E+0002  1.59000E+0000
2.72000E+0002  1.53000E+0000
2.63000E+0002  1.49000E+0000
2.53000E+0002  1.44000E+0000
2.54000E+0002  1.44000E+0000
2.64000E+0002  1.50000E+0000
2.86000E+0002  1.62000E+0000
2.98000E+0002  1.68000E+0000
3.18000E+0002  1.78000E+0000
3.34000E+0002  1.87000E+0000
3.34000E+0002  1.90000E+0000
3.18000E+0002  1.77000E+0000
2.96000E+0002  1.67000E+0000
2.97000E+0002  1.68000E+0000
3.04000E+0002  1.71000E+0000
3.09000E+0002  1.74000E+0000
3.24000E+0002  1.81000E+0000
3.24000E+0002  1.82000E+0000
3.30000E+0002  1.85000E+0000
3.34000E+0002  1.86000E+0000
3.40000E+0002  1.89000E+0000
3.48000E+0002  1.94000E+0000
3.59000E+0002  2.00000E+0000
3.62000E+0002  2.01000E+0000
3.66000E+0002  2.04000E+0000
3.75000E+0002  2.09000E+0000
3.85000E+0002  2.13000E+0000
3.87000E+0002  2.14000E+0000
3.97000E+0002  2.20000E+0000
4.11000E+0002  2.27000E+0000
4.20000E+0002  2.30000E+0000
4.34000E+0002  2.38000E+0000
4.52000E+0002  2.46000E+0000
4.60000E+0002  2.50000E+0000
4.73000E+0002  2.57000E+0000
4.88000E+0002  2.64000E+0000
4.99000E+0002  2.66000E+0000
5.06000E+0002  2.73000E+0000
5.10000E+0002  2.74000E+0000
5.20000E+0002  2.79000E+0000
5.27000E+0002  2.82000E+0000
5.38000E+0002  2.87000E+0000
5.55000E+0002  2.96000E+0000
5.64000E+0002  2.99000E+0000
5.77000E+0002  3.06000E+0000
5.91000E+0002  3.12000E+0000
6.10000E+0002  3.17000E+0000
6.19000E+0002  3.25000E+0000
6.34000E+0002  3.31000E+0000
6.47000E+0002  3.37000E+0000
6.53000E+0002  3.40000E+0000
6.66000E+0002  3.45000E+0000
6.82000E+0002  3.52000E+0000
6.91000E+0002  3.57000E+0000
7.09000E+0002  3.63000E+0000
7.22000E+0002  3.69000E+0000
7.24000E+0002  3.70000E+0000
7.36000E+0002  3.74000E+0000
7.62000E+0002  3.86000E+0000
7.88000E+0002  3.92000E+0000
7.82000E+0002  3.93000E+0000
7.71000E+0002  3.89000E+0000
7.58000E+0002  3.84000E+0000
7.58000E+0002  3.84000E+0000
7.51000E+0002  3.80000E+0000
7.44000E+0002  3.78000E+0000
7.54000E+0002  3.82000E+0000
7.72000E+0002  3.90000E+0000
7.92000E+0002  3.98000E+0000
7.99000E+0002  4.00000E+0000
8.10000E+0002  4.05000E+0000
8.19000E+0002  4.09000E+0000
8.27000E+0002  4.12000E+0000
8.40000E+0002  4.17000E+0000
8.55000E+0002  4.23000E+0000
8.69000E+0002  4.28000E+0000
8.76000E+0002  4.31000E+0000
8.85000E+0002  4.34000E+0000
8.98000E+0002  4.35000E+0000
9.08000E+0002  4.43000E+0000
9.24000E+0002  4.49000E+0000
9.42000E+0002  4.55000E+0000
9.51000E+0002  4.58000E+0000
9.66000E+0002  4.64000E+0000
9.81000E+0002  4.69000E+0000
9.98000E+0002  4.71000E+0000
1.00300E+0003  4.77000E+0000
1.01600E+0003  4.81000E+0000
1.01600E+0003  4.81000E+0000
1.04400E+0003  4.91000E+0000
1.04600E+0003  4.91000E+0000
1.03500E+0003  4.87000E+0000
1.03400E+0003  4.88000E+0000
1.06000E+0003  4.96000E+0000
1.07300E+0003  5.01000E+0000
1.09800E+0003  5.04000E+0000
1.10900E+0003  5.13000E+0000
1.12200E+0003  5.17000E+0000
1.13900E+0003  5.21000E+0000
1.15100E+0003  5.25000E+0000
1.17400E+0003  5.33000E+0000
1.18900E+0003  5.37000E+0000
1.19600E+0003  5.40000E+0000
1.21300E+0003  5.44000E+0000
1.21900E+0003  5.46000E+0000
1.22900E+0003  5.48000E+0000
1.23600E+0003  5.51000E+0000
1.25000E+0003  5.55000E+0000
1.26900E+0003  5.58000E+0000
1.27900E+0003  5.64000E+0000
1.29400E+0003  5.68000E+0000
1.31100E+0003  5.72000E+0000
1.31900E+0003  5.75000E+0000
1.33900E+0003  5.80000E+0000
1.36100E+0003  5.86000E+0000
1.37200E+0003  5.89000E+0000
1.40000E+0003  5.96000E+0000
1.43000E+0003  6.04000E+0000
1.44300E+0003  6.08000E+0000
1.45900E+0003  6.11000E+0000
1.47800E+0003  6.15000E+0000
1.50500E+0003  6.18000E+0000
1.51600E+0003  6.25000E+0000
1.54300E+0003  6.31000E+0000
1.56400E+0003  6.35000E+0000
1.57500E+0003  6.37000E+0000
1.59500E+0003  6.42000E+0000
1.61200E+0003  6.45000E+0000
1.62400E+0003  6.48000E+0000
1.64700E+0003  6.53000E+0000
1.67000E+0003  6.58000E+0000
1.68300E+0003  6.61000E+0000
1.71600E+0003  6.67000E+0000
1.75900E+0003  6.75000E+0000
1.78600E+0003  6.77000E+0000
1.80400E+0003  6.83000E+0000
1.83700E+0003  6.88000E+0000
1.87000E+0003  6.94000E+0000
1.88600E+0003  6.96000E+0000
1.92500E+0003  7.03000E+0000
1.93600E+0003  7.04000E+0000
1.95000E+0003  7.07000E+0000
1.97700E+0003  7.10000E+0000
2.01100E+0003  7.15000E+0000
2.03800E+0003  7.17000E+0000
2.05500E+0003  7.21000E+0000
2.08600E+0003  7.25000E+0000
2.10800E+0003  7.28000E+0000
2.12100E+0003  7.30000E+0000
2.15100E+0003  7.33000E+0000
2.17200E+0003  7.36000E+0000
2.18600E+0003  7.37000E+0000
2.21600E+0003  7.41000E+0000
2.24800E+0003  7.44000E+0000
2.28700E+0003  7.46000E+0000
2.31600E+0003  7.51000E+0000
2.35600E+0003  7.55000E+0000
2.38900E+0003  7.57000E+0000
2.41200E+0003  7.60000E+0000
2.45800E+0003  7.64000E+0000
2.51600E+0003  7.69000E+0000
2.55700E+0003  7.72000E+0000
2.61300E+0003  7.76000E+0000
2.66100E+0003  7.79000E+0000
2.67900E+0003  7.80000E+0000
2.73900E+0003  7.85000E+0000
2.80700E+0003  7.89000E+0000
2.83400E+0003  7.90000E+0000
2.88200E+0003  7.93000E+0000
2.95900E+0003  7.96000E+0000
2.98600E+0003  7.98000E+0000
3.03400E+0003  8.00000E+0000
3.06500E+0003  8.01000E+0000
3.09800E+0003  8.02000E+0000
3.12100E+0003  8.03000E+0000
3.18300E+0003  8.05000E+0000
3.23200E+0003  8.07000E+0000
3.25900E+0003  8.08000E+0000
3.33200E+0003  8.10000E+0000
3.39200E+0003  8.12000E+0000
3.41100E+0003  8.12000E+0000
3.45500E+0003  8.14000E+0000
3.50400E+0003  8.15000E+0000
3.52800E+0003  8.16000E+0000
3.55900E+0003  8.17000E+0000
3.60200E+0003  8.17000E+0000
3.62700E+0003  8.18000E+0000
3.66300E+0003  8.19000E+0000
3.70500E+0003  8.20000E+0000
3.76600E+0003  8.21000E+0000
3.79100E+0003  8.21000E+0000
3.84600E+0003  8.22000E+0000
3.88900E+0003  8.23000E+0000
3.90900E+0003  8.23000E+0000
3.95500E+0003  8.24000E+0000
3.98700E+0003  8.24000E+0000
4.03200E+0003  8.25000E+0000
4.05700E+0003  8.26000E+0000
4.11400E+0003  8.27000E+0000
4.18600E+0003  8.28000E+0000
4.21000E+0003  8.28000E+0000
4.27700E+0003  8.29000E+0000
4.36000E+0003  8.30000E+0000
4.39300E+0003  8.30000E+0000
4.45200E+0003  8.31000E+0000
4.43100E+0003  8.30000E+0000
4.38500E+0003  8.29000E+0000
4.36700E+0003  8.30000E+0000
4.32500E+0003  8.28000E+0000
4.32600E+0003  8.28000E+0000
4.42700E+0003  8.31000E+0000
4.46800E+0003  8.30000E+0000
4.53000E+0003  8.31000E+0000
4.55700E+0003  8.32000E+0000
4.61500E+0003  8.32000E+0000
4.68400E+0003  8.32000E+0000
4.70600E+0003  8.32000E+0000
4.74500E+0003  8.33000E+0000
4.78200E+0003  8.33000E+0000
4.79800E+0003  8.33000E+0000
4.82300E+0003  8.34000E+0000
4.84900E+0003  8.34000E+0000
4.87600E+0003  8.34000E+0000
4.89100E+0003  8.34000E+0000
4.94200E+0003  8.34000E+0000
4.97500E+0003  8.35000E+0000
5.02900E+0003  8.35000E+0000
5.05500E+0003  8.36000E+0000
5.10600E+0003  8.36000E+0000
5.15500E+0003  8.35000E+0000
5.17400E+0003  8.36000E+0000
5.24300E+0003  8.36000E+0000
5.29300E+0003  8.37000E+0000
5.31800E+0003  8.37000E+0000
5.37700E+0003  8.37000E+0000
5.42600E+0003  8.37000E+0000
5.45300E+0003  8.38000E+0000
5.52200E+0003  8.38000E+0000
5.58100E+0003  8.38000E+0000
5.60400E+0003  8.38000E+0000
5.65000E+0003  8.38000E+0000
5.71100E+0003  8.39000E+0000
5.74400E+0003  8.39000E+0000
5.79500E+0003  8.39000E+0000
5.85100E+0003  8.39000E+0000
5.91800E+0003  8.40000E+0000
5.94900E+0003  8.40000E+0000
6.01900E+0003  8.40000E+0000
6.08500E+0003  8.40000E+0000
6.11900E+0003  8.40000E+0000
6.20300E+0003  8.41000E+0000
6.27000E+0003  8.41000E+0000
6.30000E+0003  8.41000E+0000
6.34500E+0003  8.41000E+0000
6.39800E+0003  8.41000E+0000
6.45800E+0003  8.41000E+0000
6.48100E+0003  8.41000E+0000
6.53100E+0003  8.41000E+0000
6.56800E+0003  8.41000E+0000
6.57700E+0003  8.42000E+0000
6.61800E+0003  8.41000E+0000
6.68500E+0003  8.41000E+0000
6.70900E+0003  8.42000E+0000
6.76400E+0003  8.41000E+0000
6.81800E+0003  8.41000E+0000
6.88700E+0003  8.41000E+0000
6.91500E+0003  8.42000E+0000
6.96400E+0003  8.42000E+0000
7.02000E+0003  8.42000E+0000
7.05800E+0003  8.42000E+0000
7.12000E+0003  8.42000E+0000
7.20100E+0003  8.42000E+0000
7.23100E+0003  8.42000E+0000
7.29000E+0003  8.42000E+0000
7.33700E+0003  8.42000E+0000
7.37100E+0003  8.41000E+0000
7.40200E+0003  8.42000E+0000
7.46300E+0003  8.42000E+0000
7.48900E+0003  8.42000E+0000
7.53400E+0003  8.43000E+0000
7.58700E+0003  8.42000E+0000
7.64200E+0003  8.42000E+0000
7.67900E+0003  8.42000E+0000
7.74200E+0003  8.42000E+0000
7.76800E+0003  8.42000E+0000
7.79000E+0003  8.42000E+0000
7.83700E+0003  8.42000E+0000
7.88000E+0003  8.42000E+0000
7.91100E+0003  8.42000E+0000
7.94400E+0003  8.42000E+0000
8.00000E+0003  8.42000E+0000
8.03300E+0003  8.42000E+0000
8.07500E+0003  8.42000E+0000
8.13100E+0003  8.42000E+0000
8.18400E+0003  8.42000E+0000
8.22400E+0003  8.41000E+0000
8.27400E+0003  8.42000E+0000
8.33500E+0003  8.41000E+0000
8.37300E+0003  8.41000E+0000
8.42300E+0003  8.42000E+0000
8.48300E+0003  8.42000E+0000
8.51000E+0003  8.42000E+0000
8.54000E+0003  8.41000E+0000
8.60200E+0003  8.42000E+0000
8.64200E+0003  8.41000E+0000
8.67100E+0003  8.41000E+0000
8.73000E+0003  8.41000E+0000
8.79700E+0003  8.42000E+0000
8.83000E+0003  8.42000E+0000
8.89600E+0003  8.41000E+0000
8.94300E+0003  8.41000E+0000
8.97500E+0003  8.42000E+0000
9.04400E+0003  8.41000E+0000
9.08800E+0003  8.41000E+0000
9.12200E+0003  8.41000E+0000
9.15000E+0003  8.41000E+0000
9.21300E+0003  8.41000E+0000
9.26900E+0003  8.41000E+0000
9.28800E+0003  8.41000E+0000
9.35100E+0003  8.41000E+0000
9.41200E+0003  8.41000E+0000
9.43500E+0003  8.41000E+0000
9.49300E+0003  8.41000E+0000
9.57900E+0003  8.41000E+0000
9.66100E+0003  8.41000E+0000
9.69200E+0003  8.41000E+0000
9.76100E+0003  8.40000E+0000
9.85100E+0003  8.41000E+0000
9.90400E+0003  8.40000E+0000
9.93500E+0003  8.40000E+0000
9.98100E+0003  8.40000E+0000
1.00120E+0004  8.40000E+0000
1.01040E+0004  8.40000E+0000
1.01550E+0004  8.40000E+0000
1.01810E+0004  8.40000E+0000
1.02310E+0004  8.40000E+0000
1.02980E+0004  8.40000E+0000
1.03210E+0004  8.40000E+0000
1.03700E+0004  8.40000E+0000
1.04320E+0004  8.39000E+0000
1.04590E+0004  8.39000E+0000
1.05660E+0004  8.40000E+0000
