 U              I
 4.00000E+0000  1.00000E-0002
 1.40000E+0001  4.00000E-0002
 2.80000E+0001  8.00000E-0002
 3.60000E+0001  1.10000E-0001
 4.40000E+0001  1.20000E-0001
 4.40000E+0001  1.30000E-0001
 6.10000E+0001  1.80000E-0001
 8.00000E+0001  2.30000E-0001
 8.60000E+0001  2.40000E-0001
 9.30000E+0001  2.60000E-0001
 1.01000E+0002  2.80000E-0001
 1.13000E+0002  3.10000E-0001
 1.25000E+0002  3.20000E-0001
 1.39000E+0002  3.80000E-0001
 1.56000E+0002  4.20000E-0001
 1.69000E+0002  4.60000E-0001
 1.71000E+0002  4.60000E-0001
 1.87000E+0002  5.10000E-0001
 1.96000E+0002  5.30000E-0001
 2.05000E+0002  5.50000E-0001
 2.14000E+0002  5.70000E-0001
 2.22000E+0002  5.90000E-0001
 2.30000E+0002  6.10000E-0001
 2.34000E+0002  6.20000E-0001
 2.40000E+0002  6.40000E-0001
 2.56000E+0002  6.70000E-0001
 2.58000E+0002  6.70000E-0001
 2.69000E+0002  7.00000E-0001
 2.76000E+0002  7.20000E-0001
 2.80000E+0002  7.30000E-0001
 2.90000E+0002  7.50000E-0001
 3.05000E+0002  7.80000E-0001
 3.19000E+0002  8.10000E-0001
 3.20000E+0002  8.20000E-0001
 3.31000E+0002  8.40000E-0001
 3.48000E+0002  8.70000E-0001
 3.57000E+0002  9.00000E-0001
 3.74000E+0002  9.40000E-0001
 3.92000E+0002  9.70000E-0001
 3.98000E+0002  9.90000E-0001
 4.15000E+0002  1.02000E+0000
 4.31000E+0002  1.05000E+0000
 4.44000E+0002  1.06000E+0000
 4.53000E+0002  1.10000E+0000
 4.79000E+0002  1.14000E+0000
 4.96000E+0002  1.15000E+0000
 4.98000E+0002  1.19000E+0000
 5.15000E+0002  1.21000E+0000
 5.23000E+0002  1.22000E+0000
 5.35000E+0002  1.25000E+0000
 5.50000E+0002  1.27000E+0000
 5.66000E+0002  1.29000E+0000
 5.69000E+0002  1.31000E+0000
 5.86000E+0002  1.33000E+0000
 6.01000E+0002  1.36000E+0000
 6.13000E+0002  1.37000E+0000
 6.22000E+0002  1.39000E+0000
 6.36000E+0002  1.41000E+0000
 6.45000E+0002  1.42000E+0000
 6.61000E+0002  1.45000E+0000
 6.73000E+0002  1.47000E+0000
 6.85000E+0002  1.48000E+0000
 6.99000E+0002  1.51000E+0000
 7.07000E+0002  1.52000E+0000
 7.20000E+0002  1.54000E+0000
 7.31000E+0002  1.55000E+0000
 7.42000E+0002  1.56000E+0000
 7.55000E+0002  1.58000E+0000
 7.66000E+0002  1.59000E+0000
 7.82000E+0002  1.62000E+0000
 7.94000E+0002  1.63000E+0000
 8.01000E+0002  1.64000E+0000
 8.12000E+0002  1.66000E+0000
 8.26000E+0002  1.67000E+0000
 8.34000E+0002  1.68000E+0000
 8.48000E+0002  1.69000E+0000
 8.65000E+0002  1.72000E+0000
 8.76000E+0002  1.72000E+0000
 8.90000E+0002  1.74000E+0000
 9.02000E+0002  1.76000E+0000
 9.14000E+0002  1.77000E+0000
 9.21000E+0002  1.77000E+0000
 9.28000E+0002  1.78000E+0000
 9.35000E+0002  1.79000E+0000
 9.44000E+0002  1.80000E+0000
 9.56000E+0002  1.82000E+0000
 9.73000E+0002  1.82000E+0000
 9.99000E+0002  1.85000E+0000
 1.00600E+0003  1.86000E+0000
 1.02400E+0003  1.87000E+0000
 1.03900E+0003  1.88000E+0000
 1.05200E+0003  1.89000E+0000
 1.06800E+0003  1.91000E+0000
 1.08500E+0003  1.92000E+0000
 1.11300E+0003  1.92000E+0000
 1.12000E+0003  1.94000E+0000
 1.13200E+0003  1.95000E+0000
 1.14400E+0003  1.96000E+0000
 1.14900E+0003  1.97000E+0000
 1.15200E+0003  1.96000E+0000
 1.16900E+0003  1.97000E+0000
 1.18700E+0003  1.99000E+0000
 1.20500E+0003  2.00000E+0000
 1.21600E+0003  2.00000E+0000
 1.22600E+0003  2.01000E+0000
 1.24400E+0003  2.02000E+0000
 1.26100E+0003  2.03000E+0000
 1.28000E+0003  2.03000E+0000
 1.28700E+0003  2.04000E+0000
 1.31800E+0003  2.06000E+0000
 1.32800E+0003  2.06000E+0000
 1.35300E+0003  2.08000E+0000
 1.37600E+0003  2.09000E+0000
 1.39200E+0003  2.09000E+0000
 1.40500E+0003  2.10000E+0000
 1.42300E+0003  2.11000E+0000
 1.43900E+0003  2.11000E+0000
 1.46200E+0003  2.13000E+0000
 1.48300E+0003  2.13000E+0000
 1.50500E+0003  2.14000E+0000
 1.52200E+0003  2.15000E+0000
 1.53500E+0003  2.15000E+0000
 1.55200E+0003  2.16000E+0000
 1.56400E+0003  2.16000E+0000
 1.56300E+0003  2.16000E+0000
 1.58900E+0003  2.18000E+0000
 1.60500E+0003  2.17000E+0000
 1.62800E+0003  2.18000E+0000
 1.64800E+0003  2.19000E+0000
 1.68000E+0003  2.19000E+0000
 1.69000E+0003  2.19000E+0000
 1.70600E+0003  2.20000E+0000
 1.72200E+0003  2.20000E+0000
 1.74000E+0003  2.21000E+0000
 1.76400E+0003  2.21000E+0000
 1.77900E+0003  2.22000E+0000
 1.81500E+0003  2.22000E+0000
 1.82800E+0003  2.23000E+0000
 1.87600E+0003  2.24000E+0000
 1.88900E+0003  2.24000E+0000
 1.89000E+0003  2.24000E+0000
 1.90700E+0003  2.25000E+0000
 1.93400E+0003  2.25000E+0000
 1.96200E+0003  2.25000E+0000
 1.98300E+0003  2.26000E+0000
 1.99900E+0003  2.26000E+0000
 2.02400E+0003  2.26000E+0000
 2.02800E+0003  2.27000E+0000
 2.07700E+0003  2.27000E+0000
 2.09500E+0003  2.27000E+0000
 2.11500E+0003  2.28000E+0000
 2.13400E+0003  2.28000E+0000
 2.15000E+0003  2.28000E+0000
 2.16900E+0003  2.28000E+0000
 2.17900E+0003  2.29000E+0000
 2.20100E+0003  2.29000E+0000
 2.21800E+0003  2.29000E+0000
 2.23400E+0003  2.30000E+0000
 2.24900E+0003  2.30000E+0000
 2.27500E+0003  2.30000E+0000
 2.28600E+0003  2.31000E+0000
 2.30600E+0003  2.30000E+0000
 2.33600E+0003  2.31000E+0000
 2.34700E+0003  2.31000E+0000
 2.38100E+0003  2.31000E+0000
 2.39800E+0003  2.31000E+0000
 2.39900E+0003  2.32000E+0000
 2.40900E+0003  2.32000E+0000
 2.45300E+0003  2.32000E+0000
 2.48100E+0003  2.32000E+0000
 2.49200E+0003  2.33000E+0000
 2.51000E+0003  2.33000E+0000
 2.54000E+0003  2.33000E+0000
 2.55200E+0003  2.33000E+0000
 2.59600E+0003  2.34000E+0000
 2.64800E+0003  2.34000E+0000
 2.66400E+0003  2.35000E+0000
 2.68200E+0003  2.34000E+0000
 2.69700E+0003  2.34000E+0000
 2.73300E+0003  2.35000E+0000
 2.74500E+0003  2.35000E+0000
 2.76800E+0003  2.35000E+0000
 2.78700E+0003  2.35000E+0000
 2.81000E+0003  2.36000E+0000
 2.84000E+0003  2.36000E+0000
 2.85500E+0003  2.36000E+0000
 2.87100E+0003  2.36000E+0000
 2.89400E+0003  2.36000E+0000
 2.90900E+0003  2.36000E+0000
 2.90900E+0003  2.36000E+0000
 2.91800E+0003  2.37000E+0000
 2.94500E+0003  2.36000E+0000
 2.96200E+0003  2.36000E+0000
 2.97800E+0003  2.37000E+0000
 2.99600E+0003  2.37000E+0000
 3.01200E+0003  2.37000E+0000
 3.02600E+0003  2.37000E+0000
 3.04400E+0003  2.37000E+0000
 3.06300E+0003  2.37000E+0000
 3.08000E+0003  2.37000E+0000
 3.08700E+0003  2.37000E+0000
 3.11000E+0003  2.37000E+0000
