U;I
-63;-0.15820999443531
-59;-0.15820999443531
-59;-0.15820999443531
-59;-0.158219993114471
-57;-0.158240005373955
-56;-0.158240005373955
-49;-0.158240005373955
-48;-0.158240005373955
-44;-0.158230006694794
-41;-0.158230006694794
-37;-0.158219993114471
-33;-0.158219993114471
-28;-0.158219993114471
-26;-0.158230006694794
-23;-0.158219993114471
-20;-0.158219993114471
-17;-0.158230006694794
-14;-0.158230006694794
-13;-0.158230006694794
-9;-0.158230006694794
-6;-0.158219993114471
-4;-0.158219993114471
0;-0.15820999443531
3;-0.15820999443531
8;-0.158199995756149
10;-0.158199995756149
14;-0.158199995756149
18;-0.158199995756149
20;-0.158189997076988
27;-0.158179998397827
31;-0.158169999718666
33;-0.158169999718666
36;-0.158160001039505
38;-0.158150002360344
41;-0.158150002360344
45;-0.158150002360344
48;-0.158140003681183
49;-0.158130005002022
53;-0.158140003681183
53;-0.158140003681183
53;-0.158140003681183
55;-0.158130005002022
60;-0.158120006322861
66;-0.158120006322861
73;-0.158109992742538
78;-0.158099994063377
85;-0.158089995384216
86;-0.158079996705055
91;-0.158069998025894
108;-0.158020004630089
111;-0.158010005950928
118;-0.157989993691444
123;-0.157979995012283
137;-0.157910004258156
145;-0.157879993319511
151;-0.157849997282028
159;-0.157810002565384
171;-0.157659992575645
172;-0.157629996538162
185;-0.157419994473457
189;-0.157419994473457
194;-0.157389998435974
201;-0.157150000333786
205;-0.157110005617142
212;-0.156890004873276
219;-0.156639993190765
225;-0.156389996409416
234;-0.155939996242523
247;-0.155070006847382
252;-0.154740005731583
256;-0.154359996318817
265;-0.153400003910065
273;-0.152410000562668
280;-0.151510000228882
286;-0.150440007448196
300;-0.147550001740456
303;-0.146970003843307
308;-0.14520999789238
312;-0.143739998340607
319;-0.142340004444122
321;-0.141780003905296
327;-0.139740005135536
335;-0.136570006608963
344;-0.132430002093315
349;-0.129319995641708
353;-0.127470001578331
357;-0.124519996345043
364;-0.120430000126362
367;-0.117849998176098
371;-0.114139996469021
375;-0.111249998211861
381;-0.106119997799397
385;-0.102130003273487
389;-0.098190002143383
393;-0.0941800028085709
399;-0.0865999981760979
401;-0.0819400027394295
409;-0.0739500001072884
411;-0.0703300014138222
413;-0.0672999992966652
417;-0.0591199994087219
419;-0.0556100010871887
424;-0.0476699993014336
427;-0.0444799996912479
429;-0.0404700003564358
430;-0.0397999994456768
432;-0.0346999987959862
432;-0.0346900001168251
432;-0.0346900001168251
434;-0.0321099981665611
435;-0.0301099997013807
436;-0.0276999995112419
441;-0.0179099999368191
442;-0.0153900003060699
443;-0.0132699999958277
444;-0.0101199997588992
447;-0.00439999997615814
447;-0.00405000010505319
448;-0.002210000064224
449;-0.000690000015310943
450;0.00328000006265938
451;0.00631000008434057
452;0.0113599998876452
454;0.0137499999254942
455;0.0143299996852875
456;0.0172700006514788
457;0.0189900007098913
458;0.0231599994003773
459;0.0260400008410215
461;0.0297500006854534
462;0.0338799990713596
463;0.0361399985849857
464;0.0394200012087822
465;0.0402499996125698
465;0.0427599996328354
467;0.046909999102354
468;0.0495700016617775
469;0.0532200001180172
469;0.0536300018429756
470;0.0559599995613098
470;0.0565299987792969
471;0.0573999993503094
471;0.0580100007355213
471;0.0597900003194809
471;0.0597900003194809
