U;I
8;0
9;0
15;-0.00100000004749745
15;0.00100000004749745
15;-0.00100000004749745
17;-0.00100000004749745
19;-0.00100000004749745
20;-0.00100000004749745
23;-0.00100000004749745
24;-0.00100000004749745
26;-0.00100000004749745
29;0
34;0
37;0
39;0.00100000004749745
42;-0.00100000004749745
45;-0.00100000004749745
56;0
58;0
60;0
62;0
68;0
70;0
71;0
73;-0.00100000004749745
75;-0.00100000004749745
76;-0.00100000004749745
77;-0.00100000004749745
80;-0.00100000004749745
81;-0.00100000004749745
83;-0.00100000004749745
84;-0.00100000004749745
87;0
90;-0.00100000004749745
92;0
94;0
96;0
101;-0.00100000004749745
104;-0.00100000004749745
107;-0.00100000004749745
110;-0.00100000004749745
112;0.00100000004749745
111;-0.00100000004749745
117;-0.00100000004749745
127;-0.00100000004749745
129;0
130;0
130;0
131;0
132;0
132;0
137;-0.00100000004749745
142;-0.00100000004749745
143;0.00100000004749745
146;-0.00100000004749745
155;-0.00100000004749745
158;0.00100000004749745
160;-0.00100000004749745
160;0
165;0
165;0
166;0
166;0
166;0
166;-0.00100000004749745
168;-0.00100000004749745
168;0.00100000004749745
168;0
171;0
171;0
173;0
176;-0.00100000004749745
178;-0.00100000004749745
179;0.00100000004749745
180;0
182;0
185;0.00100000004749745
186;-0.00100000004749745
188;-0.00100000004749745
190;0
193;0
193;0
193;0
199;0
205;0
209;0
211;0
212;-0.00100000004749745
217;0
224;-0.00100000004749745
226;-0.00100000004749745
228;-0.00100000004749745
230;-0.00100000004749745
240;0
243;0
246;0
252;0
269;0
272;0
261;0
261;0
276;0
281;0
281;0
285;0
290;0.00100000004749745
291;0.00100000004749745
293;0
296;0.00100000004749745
297;0.00100000004749745
296;0.00100000004749745
302;0.00100000004749745
309;0.00100000004749745
313;0.0020000000949949
318;0.00300000002607703
320;0.00300000002607703
323;0.00300000002607703
325;0.00400000018998981
333;0.00499999988824129
336;0.00600000005215406
336;0.00700000021606684
338;0.00800000037997961
344;0.00899999961256981
347;0.00899999961256981
350;0.00999999977648258
354;0.0109999999403954
356;0.0130000002682209
357;0.0140000004321337
368;0.0160000007599592
377;0.0179999992251396
365;0.0199999995529652
365;0.0209999997168779
365;0.0189999993890524
368;0.0179999992251396
378;0.0240000002086163
381;0.0260000005364418
385;0.0280000008642673
386;0.0299999993294477
388;0.0320000015199184
392;0.0350000001490116
396;0.0370000004768372
399;0.0390000008046627
402;0.0419999994337559
405;0.046000000089407
407;0.0489999987185001
407;0.0520000010728836
417;0.0570000000298023
419;0.061999998986721
422;0.068000003695488
424;0.0729999989271164
426;0.0769999995827675
430;0.0820000022649765
432;0.0869999974966049
434;0.090999998152256
436;0.0949999988079071
438;0.100000001490116
445;0.122000001370907
452;0.133000001311302
455;0.140000000596046
457;0.148000001907349
457;0.152999997138977
469;0.195999994874001
471;0.20100000500679
460;0.172000005841255
463;0.171000003814697
469;0.207000002264977
474;0.224999994039536
479;0.245000004768372
482;0.247999995946884
484;0.26800000667572
486;0.272000014781952
488;0.293000012636185
