U,I
0,-0.00999999977648258
791,97.0999984741211
791,97.1999969482422
47,-0.00999999977648258
61,-0.00999999977648258
0,-0.00999999977648258
6,-0.00999999977648258
15,-0.00999999977648258
20,-0.00999999977648258
28,-0.00999999977648258
32,-0.00999999977648258
38,-0.00999999977648258
44,-0.00999999977648258
51,-0.00999999977648258
52,-0.00999999977648258
61,-0.00999999977648258
63,-0.00999999977648258
72,-0.00999999977648258
78,-0.00999999977648258
85,-0.00999999977648258
90,-0.00999999977648258
102,-0.00999999977648258
105,-0.00999999977648258
109,-0.00999999977648258
110,-0.00999999977648258
114,-0.00999999977648258
120,-0.00999999977648258
123,-0.00999999977648258
125,-0.00999999977648258
132,-0.00999999977648258
134,-0.00999999977648258
137,-0.00999999977648258
142,-0.00999999977648258
147,-0.00999999977648258
148,-0.00999999977648258
153,-0.00999999977648258
159,-0.00999999977648258
168,-0.00999999977648258
175,-0.00999999977648258
177,-0.00999999977648258
190,-0.00999999977648258
198,-0.00999999977648258
175,-0.00999999977648258
179,-0.00999999977648258
193,-0.00999999977648258
198,-0.00999999977648258
204,-0.00999999977648258
208,-0.00999999977648258
211,-0.00999999977648258
217,-0.00999999977648258
226,-0.00999999977648258
226,-0.00999999977648258
227,-0.00999999977648258
240,-0.00999999977648258
240,-0.00999999977648258
240,-0.00999999977648258
240,-0.00999999977648258
240,-0.00999999977648258
240,-0.00999999977648258
258,-0.00999999977648258
263,-0.00999999977648258
263,-0.00999999977648258
272,-0.00999999977648258
279,-0.00999999977648258
286,-0.00999999977648258
293,-0.00999999977648258
300,-0.00999999977648258
306,-0.00999999977648258
315,-0.00999999977648258
329,-0.00999999977648258
338,-0.00999999977648258
343,-0.00999999977648258
351,-0.00999999977648258
354,-0.00999999977648258
358,-0.00999999977648258
362,-0.00999999977648258
368,-0.00999999977648258
376,-0.00999999977648258
385,-0.00999999977648258
440,0.00999999977648258
440,0.00999999977648258
445,0.00999999977648258
447,0.0199999995529652
449,0.0199999995529652
453,0.0199999995529652
458,0.0299999993294477
462,0.0299999993294477
467,0.0399999991059303
471,0.0500000007450581
475,0.0599999986588955
481,0.0700000002980232
487,0.0799999982118607
491,0.0900000035762787
495,0.100000001490116
501,0.119999997317791
506,0.129999995231628
513,0.159999996423721
521,0.200000002980232
527,0.230000004172325
535,0.280000001192093
544,0.349999994039536
548,0.400000005960464
558,0.490000009536743
564,0.569999992847443
568,0.620000004768372
572,0.680000007152557
578,0.779999971389771
583,0.879999995231628
587,0.949999988079071
589,1.00999999046326
594,1.10000002384186
598,1.21000003814697
600,1.27999997138977
604,1.37000000476837
606,1.45000004768372
608,1.5
610,1.58000004291534
613,1.66999995708466
615,1.76999998092651
616,1.83000004291534
619,1.95000004768372
623,2.10999989509583
627,2.27999997138977
630,2.4300000667572
632,2.5699999332428
635,2.74000000953674
638,2.90000009536743
639,2.97000002861023
640,3.02999997138977
642,3.17000007629395
644,3.28999996185303
646,3.49000000953674
647,3.59999990463257
648,3.70000004768372
650,3.82999992370605
652,3.95000004768372
654,4.13000011444092
655,4.28000020980835
656,4.3600001335144
657,4.51999998092651
660,4.71000003814697
661,4.82000017166138
662,4.98000001907349
663,5.13000011444092
665,5.28000020980835
666,5.44999980926514
667,5.57000017166138
669,5.82999992370605
671,6.05000019073486
673,6.36999988555908
675,6.57000017166138
675,6.73000001907349
678,7.15000009536743
680,7.48000001907349
682,7.69000005722046
682,7.82000017166138
683,8.02000045776367
685,8.32999992370605
686,8.47000026702881
687,8.60000038146973
687,8.73999977111816
688,8.92000007629395
689,9.10000038146973
690,9.30000019073486
692,9.67000007629395
692,9.84000015258789
694,10.0900001525879
695,10.3100004196167
695,10.5200004577637
696,10.6899995803833
697,11.039999961853
698,11.2600002288818
699,11.4700002670288
700,11.6400003433228
701,11.9499998092651
702,12.3000001907349
703,12.6000003814697
704,12.8199996948242
705,13.1199998855591
706,13.3999996185303
707,13.6999998092651
708,14.0900001525879
709,14.2799997329712
709,14.4200000762939
709,14.539999961853
710,14.6899995803833
710,14.8699998855591
712,15.289999961853
712,15.5100002288818
713,15.710000038147
713,15.8599996566772
714,16.0499992370605
714,16.1700000762939
