U               I
-3.31800E+0003  0.00000E+0000
-3.31900E+0003  1.00000E-0002
-3.31400E+0003  0.00000E+0000
-3.31200E+0003  0.00000E+0000
-3.31400E+0003  0.00000E+0000
-3.31000E+0003  0.00000E+0000
-3.29800E+0003  0.00000E+0000
-3.28900E+0003  1.00000E-0002
-3.27800E+0003  0.00000E+0000
-3.25400E+0003  0.00000E+0000
-3.25200E+0003  0.00000E+0000
-3.23600E+0003  0.00000E+0000
-3.22600E+0003  0.00000E+0000
-3.22200E+0003  1.00000E-0002
-3.21100E+0003  0.00000E+0000
-3.21100E+0003  0.00000E+0000
-3.20600E+0003  0.00000E+0000
-3.20100E+0003  1.00000E-0002
-3.19500E+0003  0.00000E+0000
-3.18400E+0003  1.00000E-0002
-3.18300E+0003  0.00000E+0000
-3.17800E+0003  0.00000E+0000
-3.17200E+0003  0.00000E+0000
-3.17000E+0003  0.00000E+0000
-3.14800E+0003  1.00000E-0002
-3.14000E+0003  0.00000E+0000
-3.13300E+0003  0.00000E+0000
-3.13200E+0003  0.00000E+0000
-3.12200E+0003  0.00000E+0000
-3.11500E+0003  1.00000E-0002
-3.11500E+0003  1.00000E-0002
-3.11000E+0003  0.00000E+0000
-3.10500E+0003  0.00000E+0000
-3.09600E+0003  1.00000E-0002
-3.08200E+0003  0.00000E+0000
-3.07400E+0003  0.00000E+0000
-3.06600E+0003  0.00000E+0000
-3.06600E+0003  1.00000E-0002
-3.06500E+0003  0.00000E+0000
-3.05700E+0003  0.00000E+0000
-3.04900E+0003  1.00000E-0002
-3.04200E+0003  0.00000E+0000
-3.03400E+0003  0.00000E+0000
-3.03000E+0003  0.00000E+0000
-3.02400E+0003  1.00000E-0002
-3.01600E+0003  0.00000E+0000
-3.00600E+0003  1.00000E-0002
-3.00000E+0003  0.00000E+0000
-3.00000E+0003  0.00000E+0000
-2.97700E+0003  0.00000E+0000
-2.97500E+0003  1.00000E-0002
-2.96800E+0003  1.00000E-0002
-2.95300E+0003  0.00000E+0000
-2.95300E+0003  1.00000E-0002
-2.94400E+0003  1.00000E-0002
-2.94400E+0003  1.00000E-0002
-2.93500E+0003  1.00000E-0002
-2.92100E+0003  1.00000E-0002
-2.90600E+0003  1.00000E-0002
-2.90500E+0003  1.00000E-0002
-2.90200E+0003  1.00000E-0002
-2.89100E+0003  1.00000E-0002
-2.87700E+0003  2.00000E-0002
-2.87000E+0003  1.00000E-0002
-2.86300E+0003  2.00000E-0002
-2.84500E+0003  3.00000E-0002
-2.83500E+0003  3.00000E-0002
-2.82700E+0003  3.00000E-0002
-2.82500E+0003  3.00000E-0002
-2.82400E+0003  3.00000E-0002
-2.82500E+0003  3.00000E-0002
-2.81500E+0003  3.00000E-0002
-2.79900E+0003  4.00000E-0002
-2.79100E+0003  4.00000E-0002
-2.78300E+0003  4.00000E-0002
-2.77700E+0003  4.00000E-0002
-2.77100E+0003  5.00000E-0002
-2.76900E+0003  5.00000E-0002
-2.75600E+0003  5.00000E-0002
-2.75700E+0003  6.00000E-0002
-2.74500E+0003  6.00000E-0002
-2.73200E+0003  7.00000E-0002
-2.72300E+0003  7.00000E-0002
-2.72500E+0003  7.00000E-0002
-2.72000E+0003  7.00000E-0002
-2.71700E+0003  7.00000E-0002
-2.70700E+0003  8.00000E-0002
-2.68900E+0003  9.00000E-0002
-2.68000E+0003  9.00000E-0002
-2.67300E+0003  1.00000E-0001
-2.65600E+0003  1.10000E-0001
-2.64400E+0003  1.20000E-0001
-2.64400E+0003  1.30000E-0001
-2.62400E+0003  1.50000E-0001
-2.61000E+0003  1.60000E-0001
-2.60500E+0003  1.70000E-0001
-2.58200E+0003  1.90000E-0001
-2.56900E+0003  1.90000E-0001
-2.56800E+0003  2.00000E-0001
-2.55200E+0003  2.10000E-0001
-2.53900E+0003  2.20000E-0001
-2.53000E+0003  2.40000E-0001
-2.51900E+0003  2.60000E-0001
-2.51100E+0003  2.60000E-0001
-2.49600E+0003  2.80000E-0001
-2.48400E+0003  2.90000E-0001
