U              I
5.00000E+0000  2.00000E-0002
4.20000E+0001  8.00000E-0002
5.40000E+0001  1.00000E-0001
4.70000E+0001  1.10000E-0001
2.70000E+0001  4.00000E-0002
1.90000E+0001  4.00000E-0002
4.00000E+0001  8.00000E-0002
4.90000E+0001  1.00000E-0001
8.10000E+0001  1.50000E-0001
9.30000E+0001  1.70000E-0001
1.01000E+0002  1.70000E-0001
1.03000E+0002  1.80000E-0001
1.07000E+0002  1.90000E-0001
1.16000E+0002  2.00000E-0001
1.20000E+0002  2.10000E-0001
1.25000E+0002  2.20000E-0001
1.34000E+0002  2.40000E-0001
1.37000E+0002  2.50000E-0001
1.44000E+0002  2.50000E-0001
1.47000E+0002  2.60000E-0001
1.53000E+0002  2.60000E-0001
1.59000E+0002  2.70000E-0001
1.68000E+0002  2.90000E-0001
1.54000E+0002  2.70000E-0001
1.63000E+0002  2.80000E-0001
1.72000E+0002  2.90000E-0001
1.72000E+0002  2.90000E-0001
1.78000E+0002  3.00000E-0001
1.84000E+0002  3.10000E-0001
1.98000E+0002  3.30000E-0001
1.98000E+0002  3.30000E-0001
2.08000E+0002  3.40000E-0001
2.16000E+0002  3.60000E-0001
2.22000E+0002  3.70000E-0001
2.31000E+0002  3.80000E-0001
2.41000E+0002  3.90000E-0001
2.45000E+0002  3.90000E-0001
2.46000E+0002  4.00000E-0001
2.52000E+0002  4.00000E-0001
2.74000E+0002  4.30000E-0001
2.78000E+0002  4.40000E-0001
2.89000E+0002  4.50000E-0001
2.89000E+0002  4.50000E-0001
2.91000E+0002  4.50000E-0001
3.04000E+0002  4.70000E-0001
3.17000E+0002  4.90000E-0001
3.31000E+0002  5.00000E-0001
3.40000E+0002  5.10000E-0001
3.55000E+0002  5.30000E-0001
3.76000E+0002  5.40000E-0001
3.93000E+0002  5.80000E-0001
4.14000E+0002  6.00000E-0001
4.19000E+0002  6.00000E-0001
4.18000E+0002  6.00000E-0001
4.22000E+0002  6.00000E-0001
4.27000E+0002  6.10000E-0001
4.30000E+0002  6.20000E-0001
5.11000E+0002  6.80000E-0001
5.39000E+0002  7.10000E-0001
5.40000E+0002  7.10000E-0001
5.40000E+0002  7.10000E-0001
5.40000E+0002  7.10000E-0001
5.47000E+0002  7.00000E-0001
5.55000E+0002  7.20000E-0001
5.45000E+0002  7.00000E-0001
5.30000E+0002  7.00000E-0001
5.26000E+0002  6.90000E-0001
5.09000E+0002  6.80000E-0001
4.79000E+0002  6.60000E-0001
4.76000E+0002  6.60000E-0001
