$T$ (K),$u(T)$ (K),$1/T$ (10^{6}/K),$u(10^{6}/T)$ (1/K),$R_T$ (Ω),$u(R_T)$ (Ω),$R_3$ (Ω),$u(R_3)$ (Ω)
79.337,0.059,12604.5,9.5,209.00,0.24,20.340,0.013
84.197,0.065,11876.9,9.2,229.00,0.27,22.820,0.015
89.081,0.071,11225.7,8.9,249.10,0.29,24.870,0.016
93.917,0.076,10647.7,8.7,269.00,0.31,26.700,0.017
98.801,0.082,10121.3,8.4,289.10,0.34,28.540,0.018
103.686,0.088,9644.5,8.1,309.20,0.36,30.350,0.019
108.521,0.093,9214.8,7.9,329.10,0.38,32.140,0.020
113.381,0.099,8819.8,7.7,349.10,0.41,33.930,0.021
118.24,0.10,8457.3,7.5,369.10,0.43,35.740,0.022
122.93,0.11,8134.6,7.3,388.40,0.45,37.510,0.023
127.96,0.12,7814.9,7.1,409.10,0.48,39.480,0.025
132.87,0.12,7526.2,6.9,429.30,0.50,41.410,0.026
137.66,0.13,7264.4,6.7,449.00,0.52,43.250,0.027
142.57,0.13,7014.3,6.5,469.20,0.55,45.110,0.028
147.40,0.14,6784.2,6.4,489.10,0.57,46.900,0.029
152.261,0.072,6567.7,3.1,509.10,0.30,48.690,0.030
157.121,0.075,6364.5,3.0,529.10,0.31,50.530,0.062
161.957,0.077,6174.5,3.0,549.00,0.32,52.180,0.064
166.817,0.080,5994.6,2.9,569.00,0.33,54.500,0.066
171.920,0.083,5816.7,2.8,590.00,0.34,56.200,0.068
176.537,0.086,5664.5,2.8,609.00,0.35,57.800,0.070
181.397,0.089,5512.8,2.7,629.00,0.36,59.700,0.072
186.257,0.091,5368.9,2.6,649.00,0.38,61.500,0.074
191.117,0.094,5232.4,2.6,669.00,0.39,63.200,0.076
195.977,0.097,5102.6,2.5,689.00,0.40,64.900,0.078
200.84,0.10,4979.2,2.5,709.00,0.41,66.600,0.080
205.70,0.10,4861.5,2.4,729.00,0.42,68.300,0.082
210.56,0.11,4749.3,2.4,749.00,0.43,70.000,0.084
215.42,0.11,4642.2,2.3,769.00,0.45,71.800,0.086
220.28,0.11,4539.7,2.3,789.00,0.46,73.600,0.088
225.14,0.11,4441.7,2.2,809.00,0.47,75.500,0.091
230.00,0.12,4347.9,2.2,829.00,0.48,77.400,0.093
234.86,0.12,4257.9,2.2,849.00,0.49,79.100,0.095
239.72,0.12,4171.6,2.1,869.00,0.50,80.900,0.097
244.58,0.13,4088.7,2.1,889.00,0.51,82.600,0.099
249.44,0.13,4009.0,2.1,909.00,0.53,84.30,0.10
254.30,0.13,3932.4,2.0,929.00,0.54,86.00,0.10
259.16,0.13,3858.7,2.0,949.00,0.55,87.80,0.10
264.02,0.14,3787.6,2.0,969.00,0.56,89.50,0.11
268.88,0.14,3719.2,1.9,989.00,0.57,91.10,0.11
273.74,0.14,3653.1,1.9,1009.00,0.58,92.80,0.11
278.60,0.14,3589.4,1.9,1029.00,0.60,94.50,0.11
283.46,0.15,3527.9,1.8,1049.00,0.61,96.10,0.11
288.32,0.15,3468.4,1.8,1069.00,0.62,97.79,0.12
290.75,0.15,3439.4,1.8,1079.00,0.62,98.80,0.12
