U;I
0;-0.00999999977648258
851;96.4000015258789
21;-0.00999999977648258
27;-0.00999999977648258
33;-0.00999999977648258
40;-0.00999999977648258
46;-0.00999999977648258
53;-0.00999999977648258
59;-0.00999999977648258
67;-0.00999999977648258
72;-0.00999999977648258
80;-0.00999999977648258
85;-0.00999999977648258
93;-0.00999999977648258
97;-0.00999999977648258
105;-0.00999999977648258
114;-0.00999999977648258
125;-0.00999999977648258
128;-0.00999999977648258
139;-0.00999999977648258
148;-0.00999999977648258
156;-0.00999999977648258
161;-0.00999999977648258
171;-0.00999999977648258
175;-0.00999999977648258
181;-0.00999999977648258
189;-0.00999999977648258
198;-0.00999999977648258
203;-0.00999999977648258
208;-0.00999999977648258
216;-0.00999999977648258
217;-0.00999999977648258
221;-0.00999999977648258
226;-0.00999999977648258
231;-0.00999999977648258
240;-0.00999999977648258
245;-0.00999999977648258
251;-0.00999999977648258
254;-0.00999999977648258
259;-0.00999999977648258
268;-0.00999999977648258
273;-0.00999999977648258
278;-0.00999999977648258
285;-0.00999999977648258
291;-0.00999999977648258
298;-0.00999999977648258
305;-0.00999999977648258
310;-0.00999999977648258
319;-0.00999999977648258
324;-0.00999999977648258
333;-0.00999999977648258
338;-0.00999999977648258
348;-0.00999999977648258
353;-0.00999999977648258
360;-0.00999999977648258
375;-0.00999999977648258
380;-0.00999999977648258
386;-0.00999999977648258
395;-0.00999999977648258
399;-0.00999999977648258
403;-0.00999999977648258
409;-0.00999999977648258
414;-0.00999999977648258
418;-0.00999999977648258
423;-0.00999999977648258
428;-0.00999999977648258
437;-0.00999999977648258
455;-0.00999999977648258
463;-0.00999999977648258
468;-0.00999999977648258
477;-0.00999999977648258
480;-0.00999999977648258
484;-0.00999999977648258
498;-0.00999999977648258
506;-0.00999999977648258
513;-0.00999999977648258
518;-0.00999999977648258
522;-0.00999999977648258
527;-0.00999999977648258
536;-0.00999999977648258
547;-0.00999999977648258
554;0
556;0
559;0
567;0
569;0
571;0
578;0
590;0
594;0.00999999977648258
601;0.00999999977648258
607;0.0199999995529652
614;0.0199999995529652
622;0.0299999993294477
625;0.0299999993294477
629;0.0500000007450581
633;0.0599999986588955
638;0.0700000002980232
644;0.0799999982118607
650;0.100000001490116
655;0.109999999403954
658;0.150000005960464
665;0.200000002980232
669;0.219999998807907
674;0.259999990463257
678;0.28999999165535
682;0.330000013113022
684;0.379999995231628
688;0.449999988079071
691;0.5
694;0.540000021457672
696;0.600000023841858
700;0.670000016689301
