voltage,current,voltage_unit_coeff,current_unit_coeff,voltage_dgt,current_dgt
81.5,0,0.001,1,0.1,0.001
160.8,0,0.001,1,0.1,0.001
240.4,0,0.001,1,0.1,0.001
318.6,0,0.001,1,0.1,0.001
0.4,0,1,1,0.001,0.001
0.48,0,1,1,0.001,0.001
0.56,0,1,1,0.001,0.001
2.308,0.001,1,1,0.001,0.001
2.350,0.002,1,1,0.001,0.001
2.392,0.004,1,1,0.001,0.001
2.432,0.011,1,1,0.001,0.001
2.470,0.028,1,1,0.001,0.001
2.510,0.077,1,1,0.001,0.001
2.549,0.167,1,1,0.001,0.001
2.588,0.324,1,1,0.001,0.001
2.630,0.640,1,1,0.001,0.001
2.671,1.050,1,1,0.001,0.001
2.711,1.543,1,1,0.001,0.001
2.751,2.30,1,1,0.001,0.01
2.790,3.31,1,1,0.001,0.01
2.830,4.40,1,1,0.001,0.01
2.872,5.75,1,1,0.001,0.01
2.910,7.22,1,1,0.001,0.01
2.952,9.21,1,1,0.001,0.01
2.990,11.20,1,1,0.001,0.01
3.020,12.29,1,1,0.001,0.01
3.060,15.02,1,1,0.001,0.01




