voltage,current,voltage_unit_coeff,current_unit_coeff,voltage_dgt,current_dgt
81.5,0,0.001,1,0.1,0.001
160.8,0,0.001,1,0.1,0.001
240.4,0,0.001,1,0.1,0.001
318.6,0,0.001,1,0.1,0.001
0.4,0,1,1,0.001,0.001
0.48,0,1,1,0.001,0.001
0.56,0,1,1,0.001,0.001
1.505,0.001,1,1,0.001,0.001
1.538,0.004,1,1,0.001,0.001
1.583,0.013,1,1,0.001,0.001
1.623,0.039,1,1,0.001,0.001
1.663,0.095,1,1,0.001,0.001
1.705,0.26,1,1,0.001,0.001
1.739,0.506,1,1,0.001,0.001
1.779,1.030,1,1,0.001,0.001
1.821,1.887,1,1,0.001,0.001
1.860,2.91,1,1,0.001,0.01
1.902,4.75,1,1,0.001,0.01
1.942,5.66,1,1,0.001,0.01
1.980,9.02,1,1,0.001,0.01
2.020,9.49,1,1,0.001,0.01
2.062,15.17,1,1,0.001,0.01
2.103,18.32,1,1,0.001,0.01
2.141,22.0,1,1,0.001,0.1
2.176,24.9,1,1,0.001,0.1
2.201,27.1,1,1,0.001,0.1
