,voltage,voltage_uncertainty,current,current_uncertainty
0,0.0815,0.00035074028853269767,0.0,0.0005773502691896258
1,0.16080000000000003,0.0005796596702663843,0.0,0.0005773502691896258
2,0.2404,0.0008094450774038554,0.0,0.0005773502691896258
3,0.31860000000000005,0.0010351890326569992,0.0,0.0005773502691896258
4,0.4,0.0032331615074619045,0.0,0.0005773502691896258
5,0.48,0.0036488537012784347,0.0,0.0005773502691896258
6,0.56,0.004064545895094966,0.0,0.0005773502691896258
7,2.308,0.013147420329986155,0.001,0.0005819690713431428
8,2.35,0.013365658731739836,0.002,0.0005865878734966598
9,2.392,0.013583897133493516,0.004,0.0005958254778036938
10,2.432,0.013791743230401781,0.011,0.0006281570928783129
11,2.47,0.013989197022464634,0.028,0.000706676729488102
12,2.51,0.014197043119372895,0.077,0.0009329980350104353
13,2.549,0.014399693063858457,0.167,0.001348690228826966
14,2.588,0.014602343008344017,0.324,0.002073842166929136
15,2.63,0.014820581410097693,0.64,0.0035333836474405102
16,2.671,0.015033623659428666,1.05,0.005427092530382484
17,2.711,0.015241469756336931,1.543,0.007704161992066366
18,2.751,0.015449315853245195,2.3,0.016396747644985374
19,2.79,0.015651965797730753,3.31,0.02106173782003755
20,2.83,0.01585981189463902,4.4,0.02609623216737109
21,2.872,0.0160780502963927,5.75,0.03233161507461905
22,2.91,0.01627550408845555,7.22,0.03912125424028905
23,2.952,0.016493742490209226,9.21,0.04831267052578789
24,2.99,0.01669119628227208,11.2,0.05750408681128673
25,3.02,0.01684708085495328,12.29,0.06253858115862025
26,3.06,0.017054926951861546,15.02,0.0751479110377217
