,voltage,voltage_uncertainty,current,current_uncertainty
0,0.0815,0.00035074028853269767,0.0,0.0005773502691896258
1,0.16080000000000003,0.0005796596702663843,0.0,0.0005773502691896258
2,0.2404,0.0008094450774038554,0.0,0.0005773502691896258
3,0.31860000000000005,0.0010351890326569992,0.0,0.0005773502691896258
4,0.4,0.0032331615074619045,0.0,0.0005773502691896258
5,0.48,0.0036488537012784347,0.0,0.0005773502691896258
6,0.56,0.004064545895094966,0.0,0.0005773502691896258
7,1.505,0.008974909934552732,0.001,0.0005819690713431428
8,1.538,0.009146382964502051,0.004,0.0005958254778036938
9,1.583,0.009380209823523849,0.013,0.0006373946971853469
10,1.623,0.009588055920432114,0.039,0.0007574835531767891
11,1.663,0.009795902017340381,0.095,0.0010161364737737415
12,1.705,0.01001414041909406,0.26,0.0017782388291040477
13,1.739,0.010190809601466086,0.506,0.0029144641588692314
14,1.779,0.01039865569837435,1.03,0.0053347164873121435
15,1.821,0.010616894100128026,1.887,0.009293029932876217
16,1.86,0.010819544044613588,2.91,0.01921421695863075
17,1.902,0.011037782446367264,4.75,0.027712812921102038
18,1.942,0.01124562854327553,5.66,0.031915922880802514
19,1.98,0.011443082335338382,9.02,0.04743509811661965
20,2.02,0.011650928432246646,9.49,0.04960593512877265
21,2.062,0.011869166834000328,15.17,0.07584073136074924
22,2.103,0.0120822090833313,18.32,0.09038995814432782
23,2.141,0.01227966287539415,22.0,0.1581939737579575
24,2.176,0.012461528210188883,24.9,0.17828576312575645
25,2.201,0.01259143202075655,27.1,0.1935278102323626
